username,password,userid,vehicleId,vehicleType,gpsId
Aarav,pass123,CC-001,V001,M,G001
Vivaan,qwerty,CC-002,V002,T,G002
Aditya,123456,CC-003,V003,S,G003
Vihaan,password,CC-004,V004,M,G004
Arjun,abc123,CC-005,V005,M,G005
Sai,letmein,CC-006,V006,M,G006
Reyansh,welcome,CC-007,V007,M,G007
Ayaan,admin,CC-008,V008,M,G008
Krishna,krishana@123,CC-009,V009,M,G009
Ishaan,monkey,CC-010,V010,T,G010
Shaurya,dragon,CC-011,V011,T,G011
Atharv,sunshine,CC-012,V012,T,G012
Dhruv,princess,CC-013,V013,H,G013
Kabir,password1,CC-014,V014,S,G014
Aarush,trustno1,CC-015,V015,H,G015
